pops,string_tree,no_admixes,topology
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.002193453-0.087532803-0.012331665-0.035399537-0.045940337-0.012717459-0.065585232;0.582,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.000959912-0.086731281-0.007982237-0.034862205-0.042664687-0.012388268-0.069449764;0.567,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.000092307-0.085975980-0.035215572-0.036187182-0.005439002-0.013268674-0.069189756;0.554,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.008420921-0.085975980-0.008010066-0.035985662-0.014129538-0.010253545-0.069181025;0.573,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.000011316-0.086048054-0.033618676-0.036301047-0.018967067-0.011521586-0.070119912;0.584,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.000538614-0.084715011-0.023359329-0.035829761-0.030046399-0.012581312-0.069702004;0.582,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.000250445-0.083833967-0.028862236-0.034247619-0.018313702-0.013849664-0.069577973;0.579,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.002546028-0.083135565-0.001544640-0.034857080-0.056431074-0.013338875-0.068985806;0.564,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.001866669-0.084670166-0.006749979-0.030722502-0.053892421-0.012420600-0.071928534;0.572,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.003335390-0.084370165-0.010219472-0.032108417-0.046731692-0.012041438-0.069866501;0.586,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.002952202-0.085298584-0.004474328-0.034386393-0.054257669-0.011111302-0.068594466;0.562,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.002952202-0.085298584-0.004474328-0.034386393-0.054257669-0.015976764-0.073938191;0.56,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.000276052-0.084951468-0.037571176-0.033926376-0.010247062-0.015891961-0.072588236;0.558,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.001407837-0.079901078-0.031345834-0.033493990-0.017657771-0.015504110-0.069878968;0.567,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.004056409-0.080332814-0.007445383-0.033975986-0.043732288-0.015165165-0.071279321;0.564,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.003131713-0.078910434-0.008262453-0.034085973-0.044551662-0.016504735-0.071658431;0.566,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.001065164-0.079044154-0.005331909-0.033643346-0.051537927-0.017874180-0.071379511;0.562,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.007269509-0.079044154-0.010373455-0.033643346-0.010812642-0.017874180-0.072165805;0.562,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.003279727-0.079006680-0.028842341-0.033393905-0.005638384-0.015200657-0.070427449;0.598,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.006619937-0.081849265-0.013919238-0.037155410-0.013739032-0.011513214-0.066623009;0.589,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.006619937-0.081849265-0.013144010-0.029752354-0.015717361-0.012288441-0.072047736;0.627,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.009706093-0.083441525-0.009202203-0.028142912-0.007852965-0.012147528-0.079953197;0.613,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.001935246-0.085698934-0.024139912-0.028817193-0.031811645-0.008617447-0.080499009;0.629,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.002458652-0.085374704-0.039864031-0.025557621-0.002305449-0.008369453-0.080851832;0.609,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.007388766-0.086183751-0.011693219-0.026422758-0.015783191-0.012913259-0.081927084;0.62,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.007388766-0.086183751-0.011693219-0.026422758-0.015356275-0.012913259-0.082353409;0.625,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.004778872-0.087539745-0.022202627-0.026518065-0.002285486-0.012191529-0.080459661;0.63,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.002809166-0.087598233-0.019287965-0.026712592-0.027147853-0.011650065-0.081310284;0.616,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.008580990-0.086715210-0.007211833-0.026494282-0.037412775-0.012392121-0.082023105;0.614,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.001791329-0.086715210-0.001305430-0.026494282-0.097095550-0.012392121-0.082023105;0.611,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.001791329-0.086715210-0.001305430-0.026494282-0.097095550-0.012392121-0.082023105;0.638,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.001268683-0.086125558-0.003359406-0.025919624-0.100670501-0.013006728-0.081694486;0.636,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.000552014-0.086355481-0.002086590-0.025848595-0.096950232-0.012995681-0.080790885;0.619,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.004510912-0.086355481-0.003670930-0.025848595-0.066487839-0.013018657-0.080495617;0.615,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.004203059-0.084692844-0.005228330-0.023183059-0.065498163-0.012850283-0.079948590;0.613,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.011740206-0.085739505-0.008755153-0.021929308-0.006048013-0.009571252-0.079769562;0.668,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.012790960-0.087465649-0.006044098-0.022060131-0.001049805-0.010516965-0.081723250;0.657,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.011735857-0.082889197-0.006585607-0.023068542-0.000966296-0.013757951-0.081241719;0.651,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.005788735-0.085640984-0.018654000-0.022982725-0.018297771-0.015441291-0.079711442;0.637,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.000012051-0.085640984-0.008357312-0.022982725-0.095941879-0.015468914-0.078624981;0.653,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.000401530-0.085640984-0.003567053-0.022982725-0.109654355-0.015468914-0.079856229;0.653,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.003837600-0.085640984-0.016961511-0.022982725-0.053797275-0.009803888-0.079806582;0.653,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.006197940-0.088208600-0.010019164-0.021937764-0.061076762-0.009627770-0.079632302;0.641,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.001414674-0.087687062-0.023799357-0.023452425-0.048355609-0.010081664-0.078249239;0.647,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.008018580-0.085917976-0.003652541-0.025925814-0.055537753-0.008189151-0.079919574;0.652,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.015871256-0.085917976-0.000879590-0.025925814-0.000422241-0.008189151-0.079919574;0.652,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.013619189-0.086339340-0.002111791-0.027412362-0.003686822-0.007537207-0.074674789;0.617,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.013145195-0.087032409-0.001320767-0.030550162-0.011760091-0.009869358-0.073511150;0.61,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.006483859-0.087090553-0.014399082-0.030566598-0.027716440-0.010200257-0.076317474;0.591,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.005898622-0.087090553-0.010347743-0.024810418-0.042015277-0.010200257-0.082073654;0.623,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.006497694-0.087090553-0.013877456-0.024810418-0.028120564-0.010200257-0.082073654;0.623,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.006529904-0.090213214-0.012888513-0.023727352-0.025459123-0.010404634-0.084642776;0.629,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.013105449-0.090808800-0.000922244-0.023862390-0.013635059-0.010862378-0.082772898;0.652,1,w.a.w-c.0.c.2-c.0
