,add,admixtures,average_branch_length,average_root,descendant_sets,ghost_pops,iteration,likelihood,max_root,mhr,min_root,no_admixes,posterior,prior,proposal_type,rescale_adap_param,rescale_add_adap_param,rescale_admixtures_adap_param,rescale_constrained_adap_param,sliding_regraft_adap_param,total_branch_length,tree,origin,layer
1,0.28605062122237046,x2b;0.478,0.033860253966901316,0.0842855484246753,s1-s1.s2-s1.s2.s3-s1.s2.s3.s4-s2-s2.s3-s3-s4,0,19240,24.978383883508286,0.10921704432596621,0.0,0.04241406518185488,1,11.266540067530913,-13.711843815977373,rescale_constrained,,,,0.27152189433483265,,0.3047422857021118,w.a.w.w-c.0.c.w.2-c.0.w-c.0;0.005625125-0.082067211-0.018641268-0.048443514-0.001844581-0.015538161-0.058164019-0.002609512-0.071808896;0.478,3,0
0,0.2762940493306054,x2b;0.477,0.034054377473770575,0.08392342915425048,s1-s1.s2-s1.s2.s3-s1.s2.s3.s4-s2-s2.s3-s3-s4,0,19280,24.37926656237505,0.10679225588490382,1.8932617342957608e-170,0.044941164408531444,1,10.66417772431815,-13.7150888380569,deladmix,,,,,,0.3064893972639352,w.a.w.w-c.0.c.w.2-c.0.w-c.0;0.006940696-0.081385173-0.020195204-0.050000079-0.003917470-0.014371081-0.053357993-0.003434184-0.072887518;0.477,3,0
0,0.2883230696275902,x2b;0.449,0.03409819185492996,0.08490239317555684,s1-s1.s2-s1.s2.s3.s4-s2-s2.s3-s2.s3.s4-s3-s4,0,19320,25.51564970527943,0.10858880485965777,0.0,0.04546408281052081,1,11.78559733990409,-13.73005236537534,rescale_constrained,,,,0.26575152588031753,,0.30688372669436964,w.a.w.w-c.0.c.w.2-w.c.1-c.0;0.007130374-0.080034548-0.018303405-0.049639183-0.000580252-0.057355493-0.072216039-0.020030304-0.001594129;0.449,3,0
0,0.2883230696275902,x2b;0.466,0.03534452109586514,0.08553184681143626,s1-s1.s2-s1.s2.s3.s4-s2-s2.s3-s2.s3.s4-s3-s4,0,19360,22.020667807841164,0.10858899670818188,0.9532895677982902,0.04491063431433589,1,8.207141436630454,-13.81352637121071,rescale_admixtures,,,0.07722539455099699,,,0.3181006898627862,w.a.w.w-c.0.c.w.2-w.c.1-c.0;0.000684268-0.079932351-0.026256096-0.049446403-0.010320222-0.056245651-0.074348486-0.017970270-0.002896943;0.466,3,0
0,0.288566817127614,x2b;0.440,0.033936600559719976,0.08320465068017095,s1-s1.s2-s1.s2.s3.s4-s2-s2.s3-s2.s3.s4-s3-s4,0,19400,21.721612907616873,0.10770423207832397,4.408111865533176,0.038677207985601925,1,8.002139514995733,-13.71947339262114,rescale,0.048107466727756204,,,,,0.3054294050374798,w.a.w.w-c.0.c.w.2-w.c.1-c.0;0.003961910-0.080784138-0.019798716-0.048226416-0.009156386-0.056854722-0.069107441-0.014916581-0.002623094;0.440,3,0
1,0.2961402826255641,x2b;0.467,0.032363549124995235,0.08179304898168398,s1-s1.s2-s1.s2.s3.s4-s2-s2.s3-s2.s3.s4-s3-s4,0,19440,22.45275258568836,0.1068696320352634,0.00046072602859898766,0.023911829083526202,1,8.831062241986777,-13.621690343701582,sliding_regraft,,,,,0.2839611994159088,0.2912719421249571,w.a.w.w-c.0.c.w.2-w.c.1-c.0;0.010568790-0.082403985-0.000152976-0.047565626-0.008026581-0.057347278-0.070059915-0.013190063-0.001956729;0.467,3,0
0,0.2961402826255641,x2b;0.462,0.03236354912499524,0.08183239873839779,s1-s1.s2-s1.s2.s3.s4-s2-s2.s3-s2.s3.s4-s3-s4,0,19480,22.02508248288177,0.1068696320352634,9.995320056410092e-183,0.023911829083526202,1,8.40339213918019,-13.621690343701582,deladmix,,,,,,0.29127194212495716,w.a.w.w-c.0.c.w.2-w.c.1-c.0;0.010568790-0.082403985-0.000152976-0.047339636-0.008026581-0.057800313-0.070059915-0.013190063-0.001729683;0.462,3,0
0,0.2874448389827482,x2b;0.468,0.03372405299037774,0.08356316001684232,s1-s1.s2-s1.s2.s3.s4-s2-s2.s3-s2.s3.s4-s3-s4,0,19520,22.05266887489597,0.1090620136789144,0.0,0.042178374529175555,1,8.34855302230883,-13.704115852587142,addadmix,,,,,,0.30351647691339967,w.a.w.w-c.0.c.w.2-w.c.1-c.0;0.006649353-0.082158483-0.021843753-0.049381591-0.000189760-0.055381200-0.069927845-0.013685268-0.004299222;0.468,3,0
0,0.28828311886108426,x2b;0.455,0.03559666522465088,0.08546454393462868,s1-s1.s2-s1.s2.s3.s4-s2-s2.s3-s2.s3.s4-s3-s4,0,19560,20.904635251275977,0.11008046723090427,0.0,0.04960273059460138,1,7.074261254269885,-13.830373997006092,rescale_constrained,,,,0.25824582428364323,,0.3203699870218579,w.a.w.w-c.0.c.w.2-w.c.1-c.0;0.001560439-0.082158483-0.034357024-0.050295092-0.008600460-0.054467699-0.069927845-0.013685268-0.005317676;0.455,3,0
0,0.28828311886108426,x2b;0.455,0.034379519967931635,0.08461942956696752,s1-s1.s2-s1.s2.s3.s4-s2-s2.s3-s2.s3.s4-s3-s4,0,19600,20.904635251279615,0.11008046723090427,0.0,0.03702908012930996,1,7.155780636893187,-13.748854614386428,rescale_constrained,,,,0.25738983028058643,,0.30941567971138473,w.a.w.w-c.0.c.w.2-w.c.1-c.0;0.004238011-0.082158483-0.019105800-0.050295092-0.010219804-0.054467699-0.069927845-0.013685268-0.005317676;0.455,3,0
